"","X","sale_date","address","county","price","nfmp","vx","desc","year","price_adj","town","provence"
"6485",6485,"2010-05-13","derreens, achill sound, westport","mayo",139000,"No","No","Second-Hand Dwelling house /Apartment",2010,139000,"westport","connacht"
"6562",6562,"2010-05-14","5ashwood meadows, westport","mayo",160000,"No","Yes","New Dwelling house /Apartment",2010,181600,"westport","connacht"
"6999",6999,"2010-05-21","knockfin, west road, westport","mayo",325000,"No","No","Second-Hand Dwelling house /Apartment",2010,325000,"westport","connacht"
"7149",7149,"2010-05-26","17 cinnamon wharf, the quay, westport","mayo",150000,"No","No","Second-Hand Dwelling house /Apartment",2010,150000,"westport","connacht"
"7525",7525,"2010-05-31","lower peter street, westport","mayo",57450,"Yes","No","Second-Hand Dwelling house /Apartment",2010,57450,"westport","connacht"
"7665",7665,"2010-06-02","castlehill, ballycroy, westport","mayo",115000,"No","No","Second-Hand Dwelling house /Apartment",2010,115000,"westport","connacht"
"7791",7791,"2010-06-04","3 king hill, westport","mayo",250000,"No","No","Second-Hand Dwelling house /Apartment",2010,250000,"westport","connacht"
"8269",8269,"2010-06-14","apartment 31 the parklands, the demesne, westport","mayo",125000,"No","No","Second-Hand Dwelling house /Apartment",2010,125000,"westport","connacht"
"8448",8448,"2010-06-17","11 ashwood meadows, ballinrobe road, westport","mayo",158590.3,"No","Yes","New Dwelling house /Apartment",2010,179999.9905,"westport","connacht"
"8923",8923,"2010-06-24","17 manor village, westport road, castlebar","mayo",220000,"No","No","Second-Hand Dwelling house /Apartment",2010,220000,"westport","connacht"
"9529",9529,"2010-07-02","27 ashwood glade, ballinrobe road, westport","mayo",90000,"Yes","No","Second-Hand Dwelling house /Apartment",2010,90000,"westport","connacht"
"9674",9674,"2010-07-05","buckfield, kilmeena, westport","mayo",325000,"No","No","Second-Hand Dwelling house /Apartment",2010,325000,"westport","connacht"
"9941",9941,"2010-07-09","16 cinnamon wharf, westport","mayo",150000,"No","No","Second-Hand Dwelling house /Apartment",2010,150000,"westport","connacht"
"10208",10208,"2010-07-14","13 glenlara park, westport","mayo",182000,"No","No","Second-Hand Dwelling house /Apartment",2010,182000,"westport","connacht"
"10376",10376,"2010-07-16","13 ashwood meadows, westport","mayo",185000,"No","Yes","New Dwelling house /Apartment",2010,209975,"westport","connacht"
"11098",11098,"2010-07-26","rusheen, carrowholly, westport","mayo",155000,"No","No","Second-Hand Dwelling house /Apartment",2010,155000,"westport","connacht"
"11388",11388,"2010-07-30","18 ashwood avenue, westport","mayo",160000,"No","Yes","New Dwelling house /Apartment",2010,181600,"westport","connacht"
"11610",11610,"2010-08-04","15 ashwood meadows, westport","mayo",164757.7,"No","Yes","New Dwelling house /Apartment",2010,186999.9895,"westport","connacht"
"11611",11611,"2010-08-04","15 oakfield manor, westport road, castlebar","mayo",215000,"No","No","Second-Hand Dwelling house /Apartment",2010,215000,"westport","connacht"
"11996",11996,"2010-08-10","killeenacoff, westport","mayo",217500,"No","No","Second-Hand Dwelling house /Apartment",2010,217500,"westport","connacht"
"12095",12095,"2010-08-12","11 oakfield manor, westport road, castlebar","mayo",212000,"No","No","Second-Hand Dwelling house /Apartment",2010,212000,"westport","connacht"
"12373",12373,"2010-08-16","9 cinnamon wharf, the quay, westport","mayo",153000,"No","No","Second-Hand Dwelling house /Apartment",2010,153000,"westport","connacht"
"12502",12502,"2010-08-18","26 the fairways, westport","mayo",173000,"No","No","Second-Hand Dwelling house /Apartment",2010,173000,"westport","connacht"
"13126",13126,"2010-08-26","deerpark, newport rd, westport","mayo",262000,"No","No","Second-Hand Dwelling house /Apartment",2010,262000,"westport","connacht"
"13157",13157,"2010-08-27","12 monastery view, westport","mayo",280000,"No","No","Second-Hand Dwelling house /Apartment",2010,280000,"westport","connacht"
"13507",13507,"2010-09-01","farnaught, westport","mayo",320000,"No","No","Second-Hand Dwelling house /Apartment",2010,320000,"westport","connacht"
"13631",13631,"2010-09-03","211 the harbour mill, the quay, westport","mayo",140000,"No","No","Second-Hand Dwelling house /Apartment",2010,140000,"westport","connacht"
"14906",14906,"2010-09-24","13 cois abhainn, ballinrobe road, westport","mayo",125000,"No","Yes","New Dwelling house /Apartment",2010,141875,"westport","connacht"
"15243",15243,"2010-09-30","12  cois abhainn, ballinrobe road, westport","mayo",126498,"No","Yes","New Dwelling house /Apartment",2010,143575.23,"westport","connacht"
"16084",16084,"2010-10-14","12 ashwood meadows, ballinrobe road, westport","mayo",162995,"No","Yes","New Dwelling house /Apartment",2010,184999.325,"westport","connacht"
"16658",16658,"2010-10-22","14 ashwood meadows, ballinrobe road, westport","mayo",162995.59,"No","Yes","New Dwelling house /Apartment",2010,184999.99465,"westport","connacht"
"17077",17077,"2010-10-29","23 the fairways, westport","mayo",145000,"No","No","Second-Hand Dwelling house /Apartment",2010,145000,"westport","connacht"
"17088",17088,"2010-10-29","3 westlands, westport","mayo",253000,"No","No","Second-Hand Dwelling house /Apartment",2010,253000,"westport","connacht"
"17106",17106,"2010-10-29","4 michael davitt park, westport","mayo",120500,"No","No","Second-Hand Dwelling house /Apartment",2010,120500,"westport","connacht"
"17260",17260,"2010-11-01","no. 1 lakeview, aughagower, westport","mayo",240000,"No","Yes","New Dwelling house /Apartment",2010,272400,"westport","connacht"
"17262",17262,"2010-11-01","no. 4 lakeview, aughagower, westport","mayo",210000,"No","Yes","New Dwelling house /Apartment",2010,238350,"westport","connacht"
"17396",17396,"2010-11-04","22 the fairways, golf course road, westport","mayo",179000,"Yes","No","Second-Hand Dwelling house /Apartment",2010,179000,"westport","connacht"
"17620",17620,"2010-11-08","8 clew bay, mulranny, westport","mayo",148000,"No","No","Second-Hand Dwelling house /Apartment",2010,148000,"westport","connacht"
"17636",17636,"2010-11-08","no2 lakeview, aughagower, westport","mayo",215000,"No","Yes","New Dwelling house /Apartment",2010,244025,"westport","connacht"
"17646",17646,"2010-11-09","11 woodpark avenue, westport","mayo",187000,"No","No","Second-Hand Dwelling house /Apartment",2010,187000,"westport","connacht"
"18359",18359,"2010-11-19","8 ashwood meadows, ballinrobe road, westport","mayo",162995.59,"No","Yes","New Dwelling house /Apartment",2010,184999.99465,"westport","connacht"
"18657",18657,"2010-11-25","ardkeen, kilmeena, westport","mayo",348285,"No","No","Second-Hand Dwelling house /Apartment",2010,348285,"westport","connacht"
"19216",19216,"2010-12-03","ballinvoy, aughagower, westport","mayo",245000,"No","No","Second-Hand Dwelling house /Apartment",2010,245000,"westport","connacht"
"19736",19736,"2010-12-10","cushinsheeaune, westport","mayo",125000,"No","No","Second-Hand Dwelling house /Apartment",2010,125000,"westport","connacht"
"19803",19803,"2010-12-13","6  the harbour, the quay, westport","mayo",265000,"No","No","Second-Hand Dwelling house /Apartment",2010,265000,"westport","connacht"
"20005",20005,"2010-12-15","heather valley lodge, lodge road, westport","mayo",128500,"No","No","Second-Hand Dwelling house /Apartment",2010,128500,"westport","connacht"
"20208",20208,"2010-12-17","19 the fairways, golf course road, westport","mayo",172500,"No","No","Second-Hand Dwelling house /Apartment",2010,172500,"westport","connacht"
"20716",20716,"2010-12-22","19 the harbour, westport","mayo",195000,"Yes","No","Second-Hand Dwelling house /Apartment",2010,195000,"westport","connacht"
"20838",20838,"2010-12-22","lisfeld house, bohea, liscarney  westport","mayo",272500,"No","No","Second-Hand Dwelling house /Apartment",2010,272500,"westport","connacht"
"20940",20940,"2010-12-23","culleen, kilsallagh, westport","mayo",170000,"No","No","Second-Hand Dwelling house /Apartment",2010,170000,"westport","connacht"
"21033",21033,"2011-01-06","16 ocean view, the quay, westport","mayo",179000,"No","No","Second-Hand Dwelling house /Apartment",2011,179000,"westport","connacht"
"21269",21269,"2011-01-13","7 cois abhainn, westport","mayo",161500,"Yes","No","Second-Hand Dwelling house /Apartment",2011,161500,"westport","connacht"
"21568",21568,"2011-01-21","20 fr angelus park, westport","mayo",125000,"No","No","Second-Hand Dwelling house /Apartment",2011,125000,"westport","connacht"
"21583",21583,"2011-01-21","3 lakeview, aughagower, westport","mayo",276500,"No","Yes","New Dwelling house /Apartment",2011,313827.5,"westport","connacht"
"21760",21760,"2011-01-26","19 cinnamon wharf, the quay, westport","mayo",150000,"No","No","Second-Hand Dwelling house /Apartment",2011,150000,"westport","connacht"
"21935",21935,"2011-01-28","carrabaun, westport","mayo",345000,"No","Yes","New Dwelling house /Apartment",2011,391575,"westport","connacht"
"22210",22210,"2011-02-04","fahy more, westport","mayo",159000,"No","Yes","New Dwelling house /Apartment",2011,180465,"westport","connacht"
"22316",22316,"2011-02-08","no. 202 the harbour mill, the quay, westport","mayo",123500,"No","No","Second-Hand Dwelling house /Apartment",2011,123500,"westport","connacht"
"22405",22405,"2011-02-10","carrabaun, westport","mayo",110000,"No","No","Second-Hand Dwelling house /Apartment",2011,110000,"westport","connacht"
"22545",22545,"2011-02-14","55 westlands, westport","mayo",220000,"No","Yes","New Dwelling house /Apartment",2011,249700,"westport","connacht"
"22632",22632,"2011-02-16","apt 10 ashwood meadows, ballinrobe rd, westport","mayo",162995,"No","Yes","New Dwelling house /Apartment",2011,184999.325,"westport","connacht"
"23028",23028,"2011-02-25","3 brewery place, bridge street, westport","mayo",158000,"No","No","Second-Hand Dwelling house /Apartment",2011,158000,"westport","connacht"
"23197",23197,"2011-03-01","knockmuinard, clogher, westport","mayo",223000,"No","No","Second-Hand Dwelling house /Apartment",2011,223000,"westport","connacht"
"23336",23336,"2011-03-04","35, westlands, westport","mayo",203000,"No","No","Second-Hand Dwelling house /Apartment",2011,203000,"westport","connacht"
"23440",23440,"2011-03-07","murrisk, westport","mayo",193000,"No","No","Second-Hand Dwelling house /Apartment",2011,193000,"westport","connacht"
"23776",23776,"2011-03-15","406, the harbour mill, westport","mayo",135000,"No","No","Second-Hand Dwelling house /Apartment",2011,135000,"westport","connacht"
"23781",23781,"2011-03-15","6 ashwood meadows, westport","mayo",157709.25,"No","Yes","New Dwelling house /Apartment",2011,178999.99875,"westport","connacht"
"23924",23924,"2011-03-18","knappaghbeg, westport","mayo",180000,"No","No","Second-Hand Dwelling house /Apartment",2011,180000,"westport","connacht"
"23925",23925,"2011-03-18","lecanvey, westport","mayo",264317.17,"No","Yes","New Dwelling house /Apartment",2011,299999.98795,"westport","connacht"
"24391",24391,"2011-03-30","teach na croithe, deepark west, westport","mayo",125000,"No","No","Second-Hand Dwelling house /Apartment",2011,125000,"westport","connacht"
"24423",24423,"2011-03-31","23 pearse tce, westport","mayo",155000,"No","No","Second-Hand Dwelling house /Apartment",2011,155000,"westport","connacht"
"24469",24469,"2011-03-31","inishgowla, westport","mayo",2e+05,"Yes","No","Second-Hand Dwelling house /Apartment",2011,2e+05,"westport","connacht"
"24540",24540,"2011-04-01","cuilmore, drummin, westport","mayo",265000,"No","No","Second-Hand Dwelling house /Apartment",2011,265000,"westport","connacht"
"24546",24546,"2011-04-01","knockrooskey, westport","mayo",2e+05,"No","Yes","New Dwelling house /Apartment",2011,227000,"westport","connacht"
"24623",24623,"2011-04-05","7 pairc na coliie, golf course road, westport","mayo",183000,"No","No","Second-Hand Dwelling house /Apartment",2011,183000,"westport","connacht"
"25437",25437,"2011-04-26","apt 105, the harbour mill, westport","mayo",120000,"No","No","Second-Hand Dwelling house /Apartment",2011,120000,"westport","connacht"
"25511",25511,"2011-04-28","3 lekanvey pier, westport","mayo",158000,"No","No","Second-Hand Dwelling house /Apartment",2011,158000,"westport","connacht"
"25864",25864,"2011-05-06","apt 310, the harbour mill, westport","mayo",112500,"No","No","Second-Hand Dwelling house /Apartment",2011,112500,"westport","connacht"
"25878",25878,"2011-05-06","hill house  kinuary, killawalla  westport","mayo",75000,"No","No","Second-Hand Dwelling house /Apartment",2011,75000,"westport","connacht"
"26057",26057,"2011-05-11","peter street, westport","mayo",142000,"No","No","Second-Hand Dwelling house /Apartment",2011,142000,"westport","connacht"
"26497",26497,"2011-05-20","kilsallagh, westport","mayo",4e+05,"No","Yes","New Dwelling house /Apartment",2011,454000,"westport","connacht"
"27289",27289,"2011-06-03","amberleigh house, ardoley, westport","mayo",278000,"No","No","Second-Hand Dwelling house /Apartment",2011,278000,"westport","connacht"
"28036",28036,"2011-06-21","owenwee, westport","mayo",152000,"No","No","Second-Hand Dwelling house /Apartment",2011,152000,"westport","connacht"
"28364",28364,"2011-06-28","13 high street, westport","mayo",136000,"No","No","Second-Hand Dwelling house /Apartment",2011,136000,"westport","connacht"
"28410",28410,"2011-06-28","knappagh, westport","mayo",280000,"No","No","Second-Hand Dwelling house /Apartment",2011,280000,"westport","connacht"
"28483",28483,"2011-06-29","rossmindle, westport","mayo",293500,"No","No","Second-Hand Dwelling house /Apartment",2011,293500,"westport","connacht"
"28948",28948,"2011-07-07","16 cedar court, newport road, westport","mayo",193832.59,"No","Yes","New Dwelling house /Apartment",2011,219999.98965,"westport","connacht"
"29018",29018,"2011-07-08","1 the moorings, the quay, westport","mayo",275000,"No","No","Second-Hand Dwelling house /Apartment",2011,275000,"westport","connacht"
"29115",29115,"2011-07-08","the moorings, rosbeg, westport","mayo",375000,"No","No","Second-Hand Dwelling house /Apartment",2011,375000,"westport","connacht"
"29725",29725,"2011-07-21","deerpark, murrisk, westport","mayo",587000,"No","No","Second-Hand Dwelling house /Apartment",2011,587000,"westport","connacht"
"29842",29842,"2011-07-22","no 8 the old mill, james street, westport","mayo",175000,"No","No","Second-Hand Dwelling house /Apartment",2011,175000,"westport","connacht"
"29852",29852,"2011-07-22","streamstown, westport","mayo",305000,"No","No","Second-Hand Dwelling house /Apartment",2011,305000,"westport","connacht"
"30461",30461,"2011-08-05","11 monastery view, sandyhill, westport","mayo",2e+05,"No","No","Second-Hand Dwelling house /Apartment",2011,2e+05,"westport","connacht"
"30669",30669,"2011-08-10","22 quay village, the quay, westport","mayo",122000,"No","No","Second-Hand Dwelling house /Apartment",2011,122000,"westport","connacht"
"30767",30767,"2011-08-11","glospatrick, murrisk, westport","mayo",432500,"No","No","Second-Hand Dwelling house /Apartment",2011,432500,"westport","connacht"
"31178",31178,"2011-08-19","5 knockaphunta close, westport road, castlebar","mayo",175000,"No","No","Second-Hand Dwelling house /Apartment",2011,175000,"westport","connacht"
"31212",31212,"2011-08-19","knappagh beg, westport","mayo",220000,"No","No","Second-Hand Dwelling house /Apartment",2011,220000,"westport","connacht"
"31285",31285,"2011-08-22","shivdella house, belclare, westport","mayo",7e+05,"No","No","Second-Hand Dwelling house /Apartment",2011,7e+05,"westport","connacht"
"31685",31685,"2011-08-30","32 fairways, westport, co. mayo","mayo",165000,"No","No","Second-Hand Dwelling house /Apartment",2011,165000,"westport","connacht"
"31742",31742,"2011-08-31","21 ashwood glade, ballinrobe road, westport","mayo",170000,"No","No","Second-Hand Dwelling house /Apartment",2011,170000,"westport","connacht"
"31828",31828,"2011-09-01","18 westlands, westport","mayo",210000,"No","No","Second-Hand Dwelling house /Apartment",2011,210000,"westport","connacht"
"31997",31997,"2011-09-02","leenavesta, drummin, westport","mayo",183500,"No","No","Second-Hand Dwelling house /Apartment",2011,183500,"westport","connacht"
"32602",32602,"2011-09-15","9 fr angelus park, westport","mayo",77000,"No","No","Second-Hand Dwelling house /Apartment",2011,77000,"westport","connacht"
"32636",32636,"2011-09-16","17 kings hill, westport","mayo",160000,"No","No","Second-Hand Dwelling house /Apartment",2011,160000,"westport","connacht"
"32937",32937,"2011-09-21","owenwee, westport","mayo",265000,"No","No","Second-Hand Dwelling house /Apartment",2011,265000,"westport","connacht"
"33124",33124,"2011-09-23","distillery road, westport","mayo",94720,"Yes","No","Second-Hand Dwelling house /Apartment",2011,94720,"westport","connacht"
"33140",33140,"2011-09-23","sheenaune, westport","mayo",375000,"No","Yes","New Dwelling house /Apartment",2011,425625,"westport","connacht"
"33588",33588,"2011-10-02","3 grove park, westport","mayo",54000,"Yes","No","Second-Hand Dwelling house /Apartment",2011,54000,"westport","connacht"
"33829",33829,"2011-10-06","amberleigh house, ardoley, westport","mayo",30000,"No","No","Second-Hand Dwelling house /Apartment",2011,30000,"westport","connacht"
"33979",33979,"2011-10-08","high street, westport","mayo",340000,"No","No","Second-Hand Dwelling house /Apartment",2011,340000,"westport","connacht"
"34211",34211,"2011-10-13","rosturk, mulranny, westport","mayo",91000,"No","No","Second-Hand Dwelling house /Apartment",2011,91000,"westport","connacht"
"34225",34225,"2011-10-14","12 cinamon wharf, the quay, westport","mayo",160000,"No","No","Second-Hand Dwelling house /Apartment",2011,160000,"westport","connacht"
"34366",34366,"2011-10-17","sandyhill westport, onehundredandtwentythousandeuros","mayo",120000,"No","No","Second-Hand Dwelling house /Apartment",2011,120000,"westport","connacht"
"35109",35109,"2011-10-28","john's row, westport","mayo",150000,"No","No","Second-Hand Dwelling house /Apartment",2011,150000,"westport","connacht"
"35134",35134,"2011-10-30","2 streamstown, westport","mayo",410000,"No","No","Second-Hand Dwelling house /Apartment",2011,410000,"westport","connacht"
"35247",35247,"2011-11-02","brackloon, westport","mayo",299400,"No","No","Second-Hand Dwelling house /Apartment",2011,299400,"westport","connacht"
"35796",35796,"2011-11-11","31 st mary's crescent, westport","mayo",150000,"No","No","Second-Hand Dwelling house /Apartment",2011,150000,"westport","connacht"
"35887",35887,"2011-11-13","kinnadoohey, killadoon, westport","mayo",46750,"Yes","No","Second-Hand Dwelling house /Apartment",2011,46750,"westport","connacht"
"36072",36072,"2011-11-16","kilkeeran, partry, westport","mayo",255000,"No","No","Second-Hand Dwelling house /Apartment",2011,255000,"westport","connacht"
"36186",36186,"2011-11-17","john's row, westport","mayo",45000,"No","No","Second-Hand Dwelling house /Apartment",2011,45000,"westport","connacht"
"36391",36391,"2011-11-21","carrowkeel, murrisk, westport","mayo",488000,"No","No","Second-Hand Dwelling house /Apartment",2011,488000,"westport","connacht"
"36423",36423,"2011-11-22","21, westport road, castlebar","mayo",40000,"Yes","No","Second-Hand Dwelling house /Apartment",2011,40000,"westport","connacht"
"37075",37075,"2011-11-30","aughagower, westport","mayo",290000,"No","No","Second-Hand Dwelling house /Apartment",2011,290000,"westport","connacht"
"37214",37214,"2011-12-01","gortnaclasser, fahy, westport","mayo",212500,"No","Yes","New Dwelling house /Apartment",2011,241187.5,"westport","connacht"
"37438",37438,"2011-12-05","16 glenlara, carrowbeg, westport","mayo",45000,"Yes","No","Second-Hand Dwelling house /Apartment",2011,45000,"westport","connacht"
"37506",37506,"2011-12-05","lanmore, liscarney, westport","mayo",140000,"Yes","No","Second-Hand Dwelling house /Apartment",2011,140000,"westport","connacht"
"37544",37544,"2011-12-06","17 the cottages, murrisk, westport","mayo",155000,"No","No","Second-Hand Dwelling house /Apartment",2011,155000,"westport","connacht"
"37585",37585,"2011-12-06","ardoley, westport","mayo",230000,"No","No","Second-Hand Dwelling house /Apartment",2011,230000,"westport","connacht"
"37663",37663,"2011-12-07","8 st mary's crescent, westport","mayo",72500,"No","No","Second-Hand Dwelling house /Apartment",2011,72500,"westport","connacht"
"38100",38100,"2011-12-13","killadangan, westport","mayo",8e+05,"No","No","Second-Hand Dwelling house /Apartment",2011,8e+05,"westport","connacht"
"38417",38417,"2011-12-16","apt. 301 the harbour mill, the quay, westport","mayo",82500,"No","No","Second-Hand Dwelling house /Apartment",2011,82500,"westport","connacht"
"38622",38622,"2011-12-20","13 mcneela tce, westport","mayo",115000,"No","No","Second-Hand Dwelling house /Apartment",2011,115000,"westport","connacht"
"38660",38660,"2011-12-20","3 woodpark avenue, the quay, westport","mayo",188000,"No","No","Second-Hand Dwelling house /Apartment",2011,188000,"westport","connacht"
"38676",38676,"2011-12-20","4 lios mor, ardmore, westport","mayo",445000,"No","No","Second-Hand Dwelling house /Apartment",2011,445000,"westport","connacht"
"38761",38762,"2011-12-20","money, westport","mayo",260000,"No","No","Second-Hand Dwelling house /Apartment",2011,260000,"westport","connacht"
"38778",38779,"2011-12-20","whistling straits, rosbeg, westport","mayo",690000,"No","No","Second-Hand Dwelling house /Apartment",2011,690000,"westport","connacht"
"39489",39490,"2012-01-05","5 the paddock, westport","mayo",85000,"Yes","No","Second-Hand Dwelling house /Apartment",2012,85000,"westport","connacht"
"39504",39505,"2012-01-05","bog gate lodge, golf course road, westport","mayo",285000,"No","No","Second-Hand Dwelling house /Apartment",2012,285000,"westport","connacht"
"39509",39510,"2012-01-05","dugort east, achill, westport","mayo",120000,"No","No","Second-Hand Dwelling house /Apartment",2012,120000,"westport","connacht"
"39511",39512,"2012-01-05","innishcarra, 36 kings hill, westport","mayo",110000,"Yes","No","Second-Hand Dwelling house /Apartment",2012,110000,"westport","connacht"
"39542",39543,"2012-01-06","5 clew bay close, quay road, westport","mayo",165000,"No","No","Second-Hand Dwelling house /Apartment",2012,165000,"westport","connacht"
"39778",39779,"2012-01-12","knockmoyleen, westport","mayo",90000,"No","No","Second-Hand Dwelling house /Apartment",2012,90000,"westport","connacht"
"40267",40268,"2012-01-24","carrowbaun, westport","mayo",220000,"No","No","Second-Hand Dwelling house /Apartment",2012,220000,"westport","connacht"
"40356",40357,"2012-01-26","210 harbour mill, westport","mayo",99000,"No","No","Second-Hand Dwelling house /Apartment",2012,99000,"westport","connacht"
"40431",40432,"2012-01-27","297 habour mills, westport","mayo",98500,"No","No","Second-Hand Dwelling house /Apartment",2012,98500,"westport","connacht"
"40731",40732,"2012-02-02","6 the kiln apartments, james street, westport","mayo",190000,"No","No","Second-Hand Dwelling house /Apartment",2012,190000,"westport","connacht"
"40754",40755,"2012-02-02","no. 2 (site 30) clewbay cottages, mulranny, westport","mayo",170000,"No","No","Second-Hand Dwelling house /Apartment",2012,170000,"westport","connacht"
"40832",40833,"2012-02-03","ballinlough, westport, co. mayo","mayo",240000,"No","No","Second-Hand Dwelling house /Apartment",2012,240000,"westport","connacht"
"41005",41006,"2012-02-08","high street, westport","mayo",117000,"No","No","Second-Hand Dwelling house /Apartment",2012,117000,"westport","connacht"
"41044",41045,"2012-02-09","38 the fairways, golf course road, westport","mayo",225000,"No","No","Second-Hand Dwelling house /Apartment",2012,225000,"westport","connacht"
"41147",41148,"2012-02-10","apt. 208 harbour mill, westport","mayo",105000,"No","No","Second-Hand Dwelling house /Apartment",2012,105000,"westport","connacht"
"41161",41162,"2012-02-10","moate, ayle, westport","mayo",2e+05,"No","No","Second-Hand Dwelling house /Apartment",2012,2e+05,"westport","connacht"
"41348",41349,"2012-02-15","money, carrowholly, westport","mayo",205000,"No","No","Second-Hand Dwelling house /Apartment",2012,205000,"westport","connacht"
"41350",41351,"2012-02-15","number 36, quay village, westport","mayo",89000,"No","No","Second-Hand Dwelling house /Apartment",2012,89000,"westport","connacht"
"41884",41885,"2012-02-27","11 the harbour, the quay, westport","mayo",150000,"No","No","Second-Hand Dwelling house /Apartment",2012,150000,"westport","connacht"
"42382",42383,"2012-03-05","high street, westport","mayo",115000,"No","No","Second-Hand Dwelling house /Apartment",2012,115000,"westport","connacht"
"42898",42899,"2012-03-16","24 the harbour, the quay, westport","mayo",192000,"Yes","No","Second-Hand Dwelling house /Apartment",2012,192000,"westport","connacht"
"43246",43247,"2012-03-23","carrabawn, westport, county mayo","mayo",308000,"No","No","Second-Hand Dwelling house /Apartment",2012,308000,"westport","connacht"
"43549",43550,"2012-03-30","2 pearse terrace, westport","mayo",105000,"No","No","Second-Hand Dwelling house /Apartment",2012,105000,"westport","connacht"
"43894",43895,"2012-04-04","8 springfield drive, westport","mayo",90000,"No","No","Second-Hand Dwelling house /Apartment",2012,90000,"westport","connacht"
"44013",44014,"2012-04-05","bunnacurry, achill, westport","mayo",42000,"No","No","Second-Hand Dwelling house /Apartment",2012,42000,"westport","connacht"
"44248",44249,"2012-04-13","33 the elms, westport","mayo",154000,"No","No","Second-Hand Dwelling house /Apartment",2012,154000,"westport","connacht"
"44561",44562,"2012-04-20","17 riverside, westport","mayo",105000,"No","No","Second-Hand Dwelling house /Apartment",2012,105000,"westport","connacht"
"44610",44611,"2012-04-20","apt. 110 the harbour mill, the quay, westport","mayo",90000,"No","No","Second-Hand Dwelling house /Apartment",2012,90000,"westport","connacht"
"45068",45069,"2012-04-30","54 westlands, westport","mayo",180000,"No","Yes","New Dwelling house /Apartment",2012,204300,"westport","connacht"
"45261",45262,"2012-05-02","cartoor, kilsallagh, westport","mayo",140000,"No","No","Second-Hand Dwelling house /Apartment",2012,140000,"westport","connacht"
"45267",45268,"2012-05-02","farnaught, westport","mayo",212000,"No","No","Second-Hand Dwelling house /Apartment",2012,212000,"westport","connacht"
"45407",45408,"2012-05-04","17 ashwood avenue, ballinrobe road, westport","mayo",112000,"No","Yes","New Dwelling house /Apartment",2012,127120,"westport","connacht"
"45645",45646,"2012-05-10","1 seaview terrace, the quay, westport","mayo",153000,"No","No","Second-Hand Dwelling house /Apartment",2012,153000,"westport","connacht"
"45712",45713,"2012-05-10","murrisk, westport","mayo",242500,"No","No","Second-Hand Dwelling house /Apartment",2012,242500,"westport","connacht"
"45745",45746,"2012-05-11","27 carrowbeg estate, westport, mayo","mayo",130000,"No","No","Second-Hand Dwelling house /Apartment",2012,130000,"westport","connacht"
"45953",45954,"2012-05-15","knockmoyleen, clogher, westport","mayo",105000,"No","No","Second-Hand Dwelling house /Apartment",2012,105000,"westport","connacht"
